,brewery_name,address,brewery_page_url,list_order,page_num
66,Fire Base Brewing Company,"8 S 1st St Temple TX 76501, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952569c86f7de9496792,,1
67,Fitzhugh Brewing,"15435 Fitzhugh Road Dripping Springs TX 78620, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fd3df3c21eaf257630fafc2,,1
68,Fort Brewery & Pizza,"2737 Tillar St Fort Worth TX 76107, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952569c86f7de94967a4,,1
69,Fortress BeerWorks,"2606 Spring Cypress Rd Spring TX 77388, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5f775a9345a0c06215737064,,1
70,Four Bullets Brewery,"640 N Interurban Richardson TX 75081, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5f775a9345a0c06215737070,,1
71,Frankenboltzzzz Brewing Co.,"173 N. FM 1486 Rd. Montgomery TX 77356, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/60137e7d74391265ac0b9531,,1
72,Fredericksburg Brewing Company,"245 E. Main Street Fredericksburg TX 78624, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5f775a9445a0c0621573707e,,1
73,Fredonia Brewery,"138 N. Mound Street Nacogdoches TX 75961, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952669c86f7de94967d5,,1
74,Freetail Brewing Company Taproom,"2000 S Presa St San Antonio TX 78210, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952769c86f7de94967dd,,1
75,Friends and Allies Brewing Company,"979 Springdale Rd #124 Austin TX 78702, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952569c86f7de94967a5,,1
76,Frontyard Brewing,"4514 Bob Wire Road Spicewood TX 78669, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5f775a9445a0c06215737071,,1
77,Fulbrook Ale Works,"1125 fm 359 Richmond TX 77406, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/60b651746b68015c314165f3,,1
78,Funky Picnic Brewery & Café,"7002 Escondido Dr Arlington TX 76016, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952769c86f7de94967f3,,1
79,Galveston Bay Beer Company,"12900 FM 3436 RD Dickinson TX 77539, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952569c86f7de94967a6,,1
